title,artist,year,spotify_url
We Found Love,"Rihanna, Calvin Harris",2011,https://open.spotify.com/track/0U10zFw4GlBacOy9VDGfGL
Work Out,J. Cole,2011,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO
22,Taylor Swift,2012,https://open.spotify.com/track/5ybJm6GczjQOgTqmJ0BomP
Clarity,"Zedd, Foxes",2012,https://open.spotify.com/track/0VGrgE7GbWaINRnh1bR4k9
Demons,Imagine Dragons,2012,https://open.spotify.com/track/2Oehrcv4Kov0SuIgWyQY9e
How We Do (Party),Rita Ora,2012,https://open.spotify.com/track/2KlJOPMqqg7KaH1VriZnYI
Kiss You,One Direction,2012,https://open.spotify.com/track/0AkQbXGN4KG34TS7xLrM68
Payphone,"Maroon 5, Wiz Khalifa",2012,https://open.spotify.com/track/1LmN9SSHISbtp9LoaR5ZVJ
Scream,USHER,2012,https://open.spotify.com/track/5sAlmL7Qp9N9BJTADkwEt9
Some Nights,fun.,2012,https://open.spotify.com/track/6t6oULCRS6hnI7rm0h5gwl
Treasure,Bruno Mars,2012,https://open.spotify.com/track/55h7vJchibLdUkxdlX3fK7
Burn,Ellie Goulding,2013,https://open.spotify.com/track/2GgxS8bUT5G25QJTsfSv0R
Happy,Pharrell Williams,2013,https://open.spotify.com/track/6NPVjNh8Jhru9xOmyQigds
I See Fire,Ed Sheeran,2013,https://open.spotify.com/track/2q5rFdBjUn0e9EL6mHb4Jy
Riptide,Vance Joy,2013,https://open.spotify.com/track/3JvrhDOgAt6p7K8mDyZwRd
Royals,Lorde,2013,https://open.spotify.com/track/3yvZ1VUso9Xi7EvIyLaj4o
Wake Me Up,Avicii,2013,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
Anaconda,Nicki Minaj,2014,https://open.spotify.com/track/5eqiMMbaeUZ32Q7sS00H35
Boom Clap,Charli xcx,2014,https://open.spotify.com/track/094RugjgLW6CdPLOJctBZ3
Chandelier,Sia,2014,https://open.spotify.com/track/2i8EtsynIudUUaLPUkO6rJ
Shake It Off,Taylor Swift,2014,https://open.spotify.com/track/5WfhXulggG0c6WoVeMPA8N
Summer,Calvin Harris,2014,https://open.spotify.com/track/6YUTL4dYpB9xZO5qExPf05
Uptown Funk,"Mark Ronson, Bruno Mars",2014,https://open.spotify.com/track/32OlwWuMpZ6b0aN2RZOeMS
Antidote,Travis Scott,2015,https://open.spotify.com/track/1wHZx0LgzFHyeIZkUydNXq
King Kunta,Kendrick Lamar,2015,https://open.spotify.com/track/1vffte5WTHIik37ePfJdo4
Love Yourself,Justin Bieber,2015,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0
Stitches,Shawn Mendes,2015,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
The Hills,The Weeknd,2015,https://open.spotify.com/track/25khomWgBVamSdKw7hzm3l
Alone,Marshmello,2016,https://open.spotify.com/track/3MEYFivt6bilQ9q9mFWZ4g
Closer,"The Chainsmokers, Halsey",2016,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
Fake Love,Drake,2016,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
Let Me Love You,"DJ Snake, Justin Bieber",2016,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU
One Dance,"Drake, Wizkid, Kyla",2016,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
